60.160.0.0   云南省昭通市 电信
60.190.3.20   浙江省宁波市 电信
60.190.3.24   浙江省宁波市 慈溪市塞玛电器有限公司
60.190.3.32   浙江省宁波市 慈溪市公安局
60.190.3.36   浙江省宁波市 慈溪市钻石年代娱乐有限公司
60.190.3.40   浙江省宁波市 电信
60.190.3.64   浙江省宁波市 慈溪市天元明清家具有限公司
60.190.3.68   浙江省宁波市 慈溪市阿尔特家具有限公司
60.190.3.72   浙江省宁波市 电信
60.190.3.76   浙江省宁波市 慈溪市贝士达电动工具有限公司
60.190.3.80   浙江省宁波市 电信
60.190.64.0   浙江省温州市 电信
60.190.120.0   浙江省丽水市 电信
60.190.128.0   浙江省嘉兴市 海宁市教育局
60.190.128.64   浙江省嘉兴市 电信
60.190.160.0   浙江省湖州市 电信
60.190.176.0   浙江省舟山市 电信
60.190.184.0   浙江省绍兴市 电信
60.190.224.0   浙江省杭州市 电信
60.191.128.0   浙江省台州市 电信
60.191.136.0   浙江省湖州市 电信
60.191.144.0   浙江省台州市 电信
60.191.192.0   浙江省金华市 电信
60.192.0.0   日本 
